Wall time,Step,Value
1519856436.603065,115445,-4.409882068634033
1519856436.6363966,115455,-3.1371734142303467
1519856436.687644,115490,-5.291807174682617
1519857970.447293,115525,-4.93416690826416
1519857970.532907,115555,-5.374091625213623
1519857970.5530643,115570,-3.0474987030029297
1519857970.5969718,115590,-4.845803260803223
1519859513.6919777,115615,-4.132928848266602
1519859513.6974282,115620,-3.267179489135742
1519859513.707571,115630,-5.749685287475586
1519859513.709412,115635,-4.370199680328369
1519859513.7533135,115660,-6.40779972076416
1519859513.7985296,115675,-6.161174297332764
1519859513.8139143,115680,-5.16160774230957
1519859513.8786535,115700,-4.256098747253418
1519861066.0523534,115785,-4.654334545135498
1519862610.6391606,115815,-5.108468532562256
1519862610.6807227,115840,-5.667088508605957
1519862610.7114398,115865,-4.580102920532227
1519862610.7425213,115880,-5.829004287719727
1519864171.6431835,115920,-5.552879810333252
1519864171.659535,115930,-4.682180404663086
1519864171.7032917,115960,-5.130850315093994
1519864171.721536,115965,-5.281423568725586
1519864171.7537081,115970,-5.997804164886475
1519864171.759918,115985,-5.768835067749023
1519864171.7616541,115990,-5.207498550415039
1519865722.0286214,116015,-5.479487419128418
1519865722.029559,116020,-5.839245796203613
1519865722.0637114,116055,-5.687446117401123
1519865722.0825372,116080,-6.259196758270264
1519865722.110851,116095,-5.360288143157959
1519867252.1728528,116105,-5.682398796081543
1519867252.1858,116115,-5.073935031890869
1519867252.2170415,116150,-4.124819278717041
1519867252.224189,116155,-3.8428032398223877
1519867252.2304647,116160,-5.263049125671387
1519867252.238164,116165,-4.949802398681641
1519868809.099815,116215,-5.181159496307373
1519868809.1105986,116230,-2.9137067794799805
1519868809.1435199,116255,-3.1873586177825928
1519868809.1615973,116265,-4.361581802368164
1519868809.2122326,116280,-5.396426200866699
1519868809.225616,116285,-3.165865421295166
1519868809.2324324,116295,-4.0783281326293945
1519868809.2349064,116300,-4.827581882476807
1519870368.4834485,116330,-4.712214469909668
1519870368.486951,116340,-3.408587694168091
1519870368.527551,116360,-2.568178415298462
1519871946.3380716,116410,-4.273863315582275
1519871946.3582191,116425,-5.720930576324463
1519871946.3734417,116435,-4.883598804473877
1519871946.3973734,116455,-2.346142053604126
1519871946.4216847,116470,-3.6304237842559814
1519873480.677289,116540,-5.547995567321777
1519873480.7405763,116585,-5.858419895172119
1519875057.259334,116615,-4.718545436859131
1519875057.300636,116645,-5.0204548835754395
1519875057.3074403,116655,-4.445926666259766
1519875057.3655822,116685,-4.835641860961914
1519875057.376212,116695,-4.934834957122803
1519875057.3864512,116700,-4.2174201011657715
1519876584.9108787,116715,-3.981221914291382
1519876584.912202,116720,-4.659491062164307
1519876584.9289136,116730,-5.192846775054932
1519876584.9326856,116740,-3.7493317127227783
1519876584.9498234,116750,-4.808181285858154
1519876584.951733,116755,-5.070375919342041
1519876585.0105548,116795,-5.886973857879639
1519878147.0483596,116810,-5.1112751960754395
1519878147.0859408,116845,-6.117921352386475
1519878147.0878053,116850,-5.727879047393799
1519878147.0896122,116855,-6.116173267364502
1519878147.1274939,116880,-3.6961328983306885
1519878147.1634703,116900,-4.567922115325928
1519879704.0186687,116925,-5.813188552856445
1519879704.0295894,116935,-5.038417816162109
1519879704.0858936,116970,-3.3978476524353027
1519881260.139209,117025,-4.877917289733887
1519881260.1510394,117030,-4.727514266967773
1519881260.1588607,117035,-5.088517665863037
1519881260.2177904,117070,-4.871805191040039
1519882793.4508135,117110,-5.049815654754639
1519882793.488888,117125,-3.1907122135162354
1519882793.5283473,117155,-4.568307876586914
1519882793.5455906,117170,-5.226884841918945
1519882793.5530803,117180,-5.279630184173584
1519882793.5594068,117190,-2.6936371326446533
1519882793.593394,117200,-4.471438407897949
1519884353.8752954,117210,-2.57804799079895
1519884353.8993,117235,-5.26447868347168
1519884353.9071786,117240,-5.616830825805664
1519884353.9715,117260,-5.31002950668335
1519884354.0167217,117285,-3.7726855278015137
1519885899.0557706,117345,-1.9667425155639648
1519885899.0601661,117350,-3.83711314201355
1519885899.099974,117365,-4.5947136878967285
1519885899.1115198,117390,-4.457449436187744
1519885899.1170964,117395,-4.518572807312012
1519887463.9731119,117445,-4.462045669555664
1519887464.0288184,117470,-2.2228198051452637
1519887464.0369918,117475,-3.056886672973633
1519887464.0788023,117495,-4.490828990936279
1519888979.484501,117505,-4.819267749786377
1519888979.5068333,117530,-5.721318244934082
1519888979.5141592,117535,-5.428164482116699
1519888979.5172014,117540,-4.6192946434021
1519888979.5251405,117555,-4.852749824523926
1519888979.5376115,117565,-4.59442138671875
1519888979.5558734,117580,-4.7988762855529785
1519890518.9530885,117605,-4.438014030456543
1519890519.0305526,117645,-5.212952136993408
1519890519.045389,117650,-4.873766899108887
1519890519.1441011,117675,-5.153346538543701
1519890519.174601,117700,-4.461760997772217
1519892093.3057926,117730,-4.780227184295654
1519892093.3168824,117735,-5.452084541320801
1519892093.3250804,117745,-5.542590141296387
1519892093.369334,117755,-2.530691146850586
